edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Botucatu,BOTUCATU,-48.70181433170731,-22.883112381086423,-48.65168833885344,-22.832986388232552,290.2
Botucatu,BOTUCATU,-48.65168833885344,-22.883112381086423,-48.601562345999575,-22.832986388232552,510.0
Botucatu,BOTUCATU,-48.601562345999575,-22.883112381086423,-48.551436353145704,-22.832986388232552,232.7
Botucatu,BOTUCATU,-48.25068039602249,-22.883112381086423,-48.20055440316862,-22.832986388232552,33.8
Botucatu,BOTUCATU,-48.20055440316862,-22.883112381086423,-48.150428410314746,-22.832986388232552,58.4
Botucatu,BOTUCATU,-48.10030241746088,-22.883112381086423,-48.05017642460701,-22.832986388232552,91.4
Botucatu,BOTUCATU,-48.05017642460701,-22.883112381086423,-48.00005043175314,-22.832986388232552,89.8
Botucatu,BOTUCATU,-48.85219231026892,-22.93323837394029,-48.80206631741505,-22.883112381086423,71.0
Botucatu,BOTUCATU,-48.80206631741505,-22.93323837394029,-48.75194032456118,-22.883112381086423,38.0
Botucatu,BOTUCATU,-48.75194032456118,-22.93323837394029,-48.70181433170731,-22.883112381086423,704.1
Botucatu,BOTUCATU,-48.70181433170731,-22.93323837394029,-48.65168833885344,-22.883112381086423,533.2
Botucatu,BOTUCATU,-48.65168833885344,-22.93323837394029,-48.601562345999575,-22.883112381086423,412.5
Botucatu,BOTUCATU,-48.601562345999575,-22.93323837394029,-48.551436353145704,-22.883112381086423,555.7
Botucatu,BOTUCATU,-48.551436353145704,-22.93323837394029,-48.50131036029183,-22.883112381086423,158.0
Botucatu,BOTUCATU,-48.30080638887635,-22.93323837394029,-48.25068039602249,-22.883112381086423,134.8
Botucatu,BOTUCATU,-48.20055440316862,-22.93323837394029,-48.150428410314746,-22.883112381086423,42.7
Botucatu,BOTUCATU,-48.05017642460701,-22.93323837394029,-48.00005043175314,-22.883112381086423,73.0
Botucatu,BOTUCATU,-48.85219231026892,-22.98336436679416,-48.80206631741505,-22.93323837394029,211.5
Botucatu,BOTUCATU,-48.80206631741505,-22.98336436679416,-48.75194032456118,-22.93323837394029,34.6
Botucatu,BOTUCATU,-48.75194032456118,-22.98336436679416,-48.70181433170731,-22.93323837394029,482.7
Botucatu,BOTUCATU,-48.70181433170731,-22.98336436679416,-48.65168833885344,-22.93323837394029,1241.7
Botucatu,BOTUCATU,-48.65168833885344,-22.98336436679416,-48.601562345999575,-22.93323837394029,901.9
Botucatu,BOTUCATU,-48.30080638887635,-22.98336436679416,-48.25068039602249,-22.93323837394029,248.2
Botucatu,BOTUCATU,-48.70181433170731,-23.03349035964803,-48.65168833885344,-22.98336436679416,69.0
Botucatu,BOTUCATU,-48.65168833885344,-23.03349035964803,-48.601562345999575,-22.98336436679416,739.0
Botucatu,BOTUCATU,-48.80206631741505,-23.0836163525019,-48.75194032456118,-23.03349035964803,39.2
Botucatu,BOTUCATU,-48.70181433170731,-23.0836163525019,-48.65168833885344,-23.03349035964803,66.0
Botucatu,BOTUCATU,-48.65168833885344,-23.0836163525019,-48.601562345999575,-23.03349035964803,229.3
Botucatu,BOTUCATU,-48.601562345999575,-23.0836163525019,-48.551436353145704,-23.03349035964803,49.6
Botucatu,BOTUCATU,-48.75194032456118,-23.133742345355767,-48.70181433170731,-23.0836163525019,287.2
Botucatu,BOTUCATU,-48.70181433170731,-23.133742345355767,-48.65168833885344,-23.0836163525019,63.3
Botucatu,BOTUCATU,-48.50131036029183,-23.18386833820964,-48.45118436743797,-23.133742345355767,770.4
Botucatu,BOTUCATU,-48.45118436743797,-23.18386833820964,-48.401058374584096,-23.133742345355767,221.5
Botucatu,BOTUCATU,-48.401058374584096,-23.18386833820964,-48.350932381730225,-23.133742345355767,715.2
Botucatu,BOTUCATU,-48.20055440316862,-23.18386833820964,-48.150428410314746,-23.133742345355767,57.2
